@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

pima,3,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
pima,3,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
pima,3,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
pima,3,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
pima,3,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
pima,3,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
pima,3,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
pima,3,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,692,76,50,26,0,65.789474,34.210526,0,0,0.452677,0.474483,100,100,70.453875,70.453875,0,0.927025,0.927025,0,0,0,0,0,0,0,0,1,50,1,26,?,0,?,?,0.5,0.342105,0.657895,0.657895,0.342105,0.342105,?,0.657895,?,?,0.5,0.549861,?,0.657895,0,0,0,0,0,0,892,71300,9084,100,100,?,?,?,?,?
pima,3,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,692,76,50,26,0,65.789474,34.210526,0,0,0.452677,0.474483,100,100,70.453875,70.453875,0,0.927025,0.927025,0,0,0,0,0,0,0,0,1,50,1,26,?,0,?,?,0.5,0.342105,0.657895,0.657895,0.342105,0.342105,?,0.657895,?,?,0.5,0.549861,?,0.657895,0,0,0,0,0,0,892,71300,9084,100,100,?,?,?,?,?
pima,4,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20220506.0703,691,77,50,27,0,64.935065,35.064935,0,0,0.454958,0.477176,100,100,71.9683,71.9683,0,0.934653,0.934653,0,0,0,0,0,0,0,0,1,50,1,27,?,0,?,?,0.5,0.350649,0.649351,0.649351,0.350649,0.350649,?,0.649351,?,?,0.5,0.544611,?,0.649351,0,0.001,0,0,0,0,892,71199,9185,100,100,?,?,?,?,?
