dataset,run,fold,classifier,percent_correct,training_time_ms,testing_time_ms
pima-CFS,2,2,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,2,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,2,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,2,5,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,2,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,2,7,ZeroR,64.93506493506493,0.0,1.0
pima-CFS,2,8,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,2,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,2,10,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,3,1,ZeroR,64.93506493506493,0.0,1.0
pima-CFS,3,2,ZeroR,64.93506493506493,1.0,0.0
pima-CFS,3,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,3,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,3,5,ZeroR,64.93506493506493,1.0,0.0
pima-CFS,3,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,3,7,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,3,8,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,3,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,3,10,ZeroR,65.78947368421052,0.0,1.0
pima-CFS,4,1,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,2,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,5,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,7,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,8,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,4,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,4,10,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,5,1,ZeroR,64.93506493506493,0.0,1.0
pima-CFS,5,2,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,5,3,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,5,4,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,5,5,ZeroR,64.93506493506493,0.0,1.0
pima-CFS,5,6,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,5,7,ZeroR,64.93506493506493,0.0,0.0
pima-CFS,5,8,ZeroR,64.93506493506493,0.0,1.0
pima-CFS,5,9,ZeroR,65.78947368421052,0.0,0.0
pima-CFS,5,10,ZeroR,65.78947368421052,0.0,1.0
